bioid_number;0x;0y;1x;1y;2x;2y;3x;3y;4x;4y;5x;5y;6x;6y;7x;7y;8x;8y;9x;9y;10x;10y;11x;11y;12x;12y;13x;13y;14x;14y;15x;15y;16x;16y;17x;17y;18x;18y;19x;19y
0000;159.128;108.541;230.854;109.176;164.841;179.633;223.237;178.998;132.469;93.9421;183.883;94.5768;211.177;95.2116;254.974;91.4031;129.295;109.176;144.529;109.811;176.901;107.272;216.89;107.272;246.088;110.445;261.957;109.811;196.578;139.009;184.518;147.261;207.369;145.991;195.943;175.189;193.404;193.597;192.769;229.143
0001;154.05;102.829;223.237;102.829;156.589;175.824;219.429;173.285;129.295;90.7684;177.536;92.0379;199.752;94.5768;247.992;91.4031;125.487;107.272;138.816;105.367;169.284;103.463;209.908;103.463;237.202;106.002;253.07;107.906;188.326;132.661;177.536;140.913;199.752;141.548;187.692;171.381;187.057;190.423;186.422;224.065
0002;144.515;89.4638;214.281;88.7519;151.634;152.111;210.721;149.975;121.022;73.802;168.007;69.5307;193.636;68.8188;237.773;75.2258;117.463;97.2946;128.853;93.0232;159.465;86.6162;197.907;86.6162;227.807;90.8875;241.333;95.8708;178.686;100.142;168.719;113.668;189.364;113.668;178.686;140.72;179.398;163.501;182.245;199.096
0003;148.074;93.0232;219.976;95.8708;151.634;162.077;210.721;159.941;121.351;78.2225;170.855;77.3615;195.771;79.4972;242.045;79.4972;118.887;95.1589;134.548;93.7351;162.312;90.8875;202.178;93.0232;234.214;98.7184;245.604;99.4303;182.245;114.38;172.279;124.347;192.924;124.347;182.957;153.534;182.245;176.315;182.957;210.486
0004;150.441;99.2171;224.959;100.142;157.329;174.179;217.84;169.908;123.867;85.722;174.715;85.4974;200.873;86.0884;245.893;81.5152;120.835;101.405;135.654;101.108;167.635;98.0747;207.95;97.264;240.621;102.278;252.011;100.854;187.229;127.906;176.55;135.737;199.331;136.449;188.652;164.213;190.788;188.417;190.076;222.588
0005;150.21;96.5827;221.4;95.8708;157.329;172.044;215.704;167.772;123.312;82.7993;170.143;79.4972;198.467;83.9055;246.316;83.7686;121.734;102.99;135.26;99.4303;165.872;95.1589;208.586;95.8708;238.485;98.7184;254.147;97.2946;186.416;125.321;175.838;132.178;197.195;132.178;187.941;162.077;186.517;186.282;185.722;217.656
0006;160.177;97.2946;234.214;100.142;161.6;173.467;228.519;174.179;133.393;85.1733;183.669;86.6162;210.009;88.7519;255.571;88.04;129.609;101.755;140.955;101.566;175.126;98.7184;217.022;98.5865;248.452;102.99;261.772;102.766;196.483;127.906;183.718;137.566;206.666;137.78;195.059;166.349;195.059;189.129;192.433;222.528
0007;147.979;94.3986;224.247;95.1589;153.058;170.62;217.84;169.908;121.086;80.9292;172.894;81.269;198.561;82.64;246.536;78.3996;118.175;98.7184;132.46;96.6137;165.16;93.0232;207.874;93.0232;239.909;98.7184;253.435;100.854;185.64;125.292;173.889;134.035;197.329;133.45;185.485;164.353;185.805;185.57;183.935;219.859
0008;145.939;95.1589;224.959;95.1589;153.77;172.756;219.976;169.908;122.248;83.0332;173.066;83.3606;197.093;85.2744;247.028;83.7686;119.599;102.99;130.277;100.142;165.16;96.5827;207.874;95.1589;239.909;100.142;253.435;102.99;185.377;126.12;172.991;133.601;197.339;134.862;185.805;163.501;184.381;189.129;184.751;221.214
0009;148.786;111.533;224.959;110.821;156.617;185.57;217.84;184.146;122.446;96.5827;171.567;95.1589;200.755;97.2946;248.452;93.7351;118.175;113.668;132.413;112.244;165.16;110.109;210.721;110.109;242.045;112.244;252.687;112.444;185.805;141.432;173.703;151.399;199.331;150.687;185.805;181.298;185.805;201.231;184.704;235.609
0010;159.465;112.956;238.485;108.685;172.279;194.824;234.214;197.672;130.277;102.278;182.245;94.447;217.128;93.0232;264.113;88.7519;131.701;120.075;143.091;117.228;177.974;114.38;222.823;112.244;256.283;109.397;274.08;104.414;202.178;159.941;186.517;165.637;217.84;165.637;200.755;189.841;203.602;222.588;203.794;250.529
0011;144.515;111.533;224.959;111.533;148.074;190.553;218.552;190.553;118.887;97.2946;170.409;95.9266;199.331;96.5827;253.435;98.0065;114.615;119.363;127.429;115.804;160.177;111.533;206.45;112.244;242.757;117.228;256.994;120.787;182.245;135.025;169.431;148.551;195.771;149.263;182.245;179.875;182.245;209.774;182.154;245.267
0012;134.548;112.956;213.569;113.668;140.955;194.824;210.009;191.265;103.937;102.278;157.329;95.8708;189.364;97.2946;239.909;100.854;103.225;119.363;118.175;118.651;150.922;112.244;197.195;112.244;229.942;117.228;244.892;119.363;172.991;137.873;160.888;149.975;185.805;150.687;174.414;184.146;175.126;210.486;173.392;245.718
0013;130.277;110.109;217.84;109.397;138.108;196.248;212.145;194.112;98.2416;90.1757;159.465;85.9043;191.5;91.5994;248.452;92.3113;96.8178;113.668;111.056;110.821;150.922;107.261;200.755;107.261;237.773;113.668;252.723;113.668;175.838;138.585;163.024;151.399;190.076;152.111;177.262;190.553;175.838;214.757;176.55;256.759
0014;133.116;140.554;231.201;138.218;141.679;241.753;219.524;239.418;98.0854;128.099;163.476;127.32;200.063;128.877;264.675;122.649;95.75;146.003;108.205;143.668;154.913;142.111;207.069;141.332;250.663;140.554;267.789;142.111;182.159;195.824;164.254;202.83;199.285;203.609;183.715;236.304;182.937;265.885;181.38;300.916
